epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.391,1.03935,4.12465,1.57942,0.69128,0.09283,0.09277,0.06801,0.9988,2.78767,1.76949,3.18984e-05,3.18984e-05,3.18984e-05
2,536.513,0.95479,2.99899,1.43849,0.4952,0.26802,0.22262,0.16659,0.97797,2.2037,1.72176,6.07354e-05,6.07354e-05,6.07354e-05
3,732.236,0.954,2.63122,1.42029,0.52923,0.34286,0.3312,0.25617,1.01641,1.98312,1.77419,8.64045e-05,8.64045e-05,8.64045e-05
4,926.421,0.93051,2.37723,1.3992,0.49127,0.44484,0.47515,0.37311,0.96839,1.73512,1.70812,8.1744e-05,8.1744e-05,8.1744e-05
5,1120,0.92093,2.16255,1.38765,0.52491,0.58543,0.608,0.48219,0.94716,1.44807,1.66721,7.6992e-05,7.6992e-05,7.6992e-05
6,1312.33,0.90425,1.98916,1.37562,0.67053,0.66166,0.79916,0.64832,0.9338,1.12324,1.66346,7.224e-05,7.224e-05,7.224e-05
7,1508.5,0.89021,1.86061,1.36285,0.72302,0.79683,0.86552,0.70787,0.92103,0.92642,1.63304,6.7488e-05,6.7488e-05,6.7488e-05
8,1700.59,0.87563,1.7297,1.34923,0.73435,0.80647,0.87406,0.72017,0.90997,0.91583,1.60003,6.2736e-05,6.2736e-05,6.2736e-05
9,1893.69,0.86955,1.6597,1.34533,0.86637,0.79995,0.92251,0.75921,0.9086,0.79634,1.60993,5.7984e-05,5.7984e-05,5.7984e-05
10,2086.72,0.85347,1.56256,1.3295,0.81365,0.82683,0.91457,0.74826,0.92684,0.75086,1.62253,5.3232e-05,5.3232e-05,5.3232e-05
11,2278.26,0.78937,0.76712,1.45942,0.87333,0.87347,0.94996,0.79138,0.881,0.62004,1.56799,4.848e-05,4.848e-05,4.848e-05
12,2468.69,0.76162,0.64188,1.42972,0.91272,0.8815,0.95393,0.79147,0.87293,0.58504,1.55359,4.3728e-05,4.3728e-05,4.3728e-05
13,2658.07,0.74653,0.58633,1.4065,0.89892,0.90991,0.9607,0.79953,0.86313,0.55633,1.5389,3.8976e-05,3.8976e-05,3.8976e-05
14,2848.77,0.72325,0.53066,1.39528,0.90004,0.92702,0.96662,0.81038,0.85802,0.5105,1.53328,3.4224e-05,3.4224e-05,3.4224e-05
15,3042.17,0.71102,0.4806,1.38282,0.92708,0.91061,0.9656,0.80833,0.86406,0.48941,1.53668,2.9472e-05,2.9472e-05,2.9472e-05
16,3232.46,0.70471,0.45632,1.37635,0.91759,0.92128,0.96935,0.81125,0.84932,0.48439,1.51529,2.472e-05,2.472e-05,2.472e-05
17,3424.29,0.68399,0.41906,1.35084,0.93444,0.92375,0.96297,0.80489,0.86565,0.47905,1.53145,1.9968e-05,1.9968e-05,1.9968e-05
18,3613.87,0.66291,0.38774,1.33683,0.93692,0.92964,0.965,0.80701,0.84902,0.45031,1.52155,1.5216e-05,1.5216e-05,1.5216e-05
19,3807.03,0.65038,0.37818,1.33158,0.93931,0.93121,0.97109,0.81575,0.85006,0.45505,1.51946,1.0464e-05,1.0464e-05,1.0464e-05
20,4001.43,0.64125,0.35248,1.31319,0.93816,0.9341,0.97098,0.81491,0.84498,0.44406,1.51918,5.712e-06,5.712e-06,5.712e-06
